id,bank,top,bottom,n,x,y,japanese,korean
rec_088C9F_20,11,8EA6,8EB6,8,20,7,練習試合,연습 시합
rec_088C9F_21,11,8EC9,8EDD,10,1,7,熱血高校,열혈고교
rec_088C9F_22,11,8EF4,8F08,10,1,7,花園高校,하나조노고교
rec_088C9F_23,11,8F1F,8F33,10,1,7,宝陵高校,호료고교
rec_088C9F_24,11,8F4A,8F5E,10,1,7,霧雨実業,키리사메실업
rec_088C9F_25,11,8F75,8F89,10,1,7,白鷹工業,시라타카공업
rec_088C9F_26,11,8FA0,8FB4,10,1,7,冷峰学園,레이호학원
rec_088C9F_27,11,8FCB,8FDF,10,1,7,愛然商業,아이젠상업
rec_088C9F_28,11,8FF6,900A,10,1,7,明暗高校,메이안고교
rec_088C9F_29,11,9021,9035,10,1,7,黒龍山学院,코쿠류잔학원
rec_088C9F_30,11,904C,9060,10,1,7,夢園商業,유메조노상업
rec_088C9F_31,11,9077,908B,10,1,7,谷花高校,타니바나고교
rec_088C9F_32,11,90A2,90B6,10,1,7,服部学園,핫토리학원
rec_08996F_00,11,9990,999E,7,3,7,コンティニュー,계속하기
rec_08996F_01,11,99AF,99C7,12,3,10,セーブする,저장하기
rec_08996F_02,11,99E2,99F2,8,3,13,セーブしておわり,저장 후 끝
rec_08996F_03,11,9A05,9A17,9,3,16,あらたにロードする,불러오기
rec_08996F_04,11,9A2C,9A3C,8,3,19,せんしゅせいせき,선수 성적
rec_08996F_05,11,9A4F,9A61,9,3,22,なんいどのへんこう,난이도 변경
rec_08996F_06,11,9A76,9A8A,10,3,25,やめる,그만두기
rec_08996F_07,11,9AA1,9AA9,4,17,10,やさしく,초급
rec_08996F_08,11,9AB8,9ABE,3,22,10,ふつう,중급
rec_08996F_09,11,9ACB,9AD1,3,27,10,むずい,상급
rec_08996F_10,11,9ADE,9AE8,5,16,14,きろく1.,기록1.
