id,bank,addr,n,japanese,korean
q_10B61E,10,B61E,7,ハトルシュース,배틀 슈즈
q_10B62E,10,B62E,7,(marks), 
q_10B63E,10,B63E,8,りきのゆうしょう,리키의 우정
q_10B650,10,B650,6,(marks), 
q_10B65E,10,B65E,7,きんきんセット,긴긴 제트
q_10B66E,10,B66E,5,(marks), 
q_10B67A,10,B67A,8,ファイトはつらつ,파이트 발랄
q_10B68C,10,B68C,1,(marks), 
q_10B690,10,B690,6,ミナケンキー,모두건강
q_10B69E,10,B69E,3,(marks), 
q_10B6A6,10,B6A6,6,いやらしほん,야한 책
q_10B6C0,10,B6C0,8,のーかっとのほん,노컷 책
q_10B6D2,10,B6D2,1,(marks), 
q_10B6D6,10,B6D6,8,キューキューはこ,구급상자
q_10B6E8,10,B6E8,7,(marks), 
q_10B6F8,10,B6F8,8,あんしんおまもり,안심 부적
q_10B70A,10,B70A,1,(marks), 
q_10B70E,10,B70E,6,コットハワー,갓 파워
q_10B71C,10,B71C,4,(marks), 
q_10B73C,10,B73C,2,なし,없음
q_10B742,10,B742,1,(marks), 
q_10B746,10,B746,2,あし,다리
q_10B74C,10,B74C,1,(marks), 
q_10B750,10,B750,2,うて,팔
q_10B756,10,B756,2,(marks), 
q_10B75C,10,B75C,3,からた,몸
q_10B764,10,B764,3,(marks), 
q_10B76C,10,B76C,2,かた,어깨
q_10B772,10,B772,1,(marks), 
q_10B138,10,B138,6,おもにライト,주로 우익수
q_10B146,10,B146,1,(marks), 
q_10B16E,10,B16E,10,クリーンナッフレヘル,클린업급
q_10B184,10,B184,9,(marks), 
q_10B198,10,B198,6,ハワーはある,파워 있음
q_10B1A6,10,B1A6,1,(marks), 
q_10B1AA,10,B1AA,7,ハントはうまい,번트 능숙
q_10B1BA,10,B1BA,1,(marks), 
q_10B1BE,10,B1BE,7,あてるのうまい,맞히기 능숙
q_02CC8E,02,CC8E,9,ピッチャー(1),투수(1)
q_02CBDA,02,CBDA,9,(marks), 
q_02CCA0,02,CCA0,9,キャッチャー(2),포수(2)
q_02CBEC,02,CBEC,9,(marks), 
q_02CCB2,02,CCB2,9,ファースト(3),1루수(3)
q_02CBFE,02,CBFE,9,(marks), 
q_02CCC4,02,CCC4,9,セカンド(4),2루수(4)
q_02CC10,02,CC10,9,(marks), 
q_02CCD6,02,CCD6,9,サード(5),3루수(5)
q_02CC22,02,CC22,9,(marks), 
q_02CCE8,02,CCE8,9,ショート(6),유격수(6)
q_02CC34,02,CC34,9,(marks), 
q_02CCFA,02,CCFA,9,レフト(7),좌익수(7)
q_02CC46,02,CC46,9,(marks), 
q_02CD0C,02,CD0C,9,センター(8),중견수(8)
q_02CC58,02,CC58,9,(marks), 
q_02CD1E,02,CD1E,9,ライト(9),우익수(9)
q_02CC6A,02,CC6A,9,(marks), 
q_02C2AA,02,C2AA,3,やめる,취소
q_02C2B0,02,C2B0,4,けってい,결정
q_02A4E7,02,A4E7,10, やめる  けってい, 취소  결정
q_02E747,02,E747,8,(marks), 
q_02E757,02,E757,8,ももその_さとみ,모모조노 사토미
q_02E767,02,E767,7,(marks), 
q_02E775,02,E775,7,にしの_たまえ,니시노 타마에
q_02E783,02,E783,8,(marks), 
q_02E793,02,E793,8,きりしま_ゆうこ,키리시마 유코
q_02E7A3,02,E7A3,8,(marks), 
q_02E7B3,02,E7B3,8,はなしま_えりこ,하나시마 에리코
q_02E7C3,02,E7C3,7,(marks), 
q_02E7D1,02,E7D1,7,くらさわ_るみ,쿠라사와 루미
q_02E7DF,02,E7DF,8,(marks), 
q_02E7EF,02,E7EF,8,あいはら_しすか,아이하라 시즈카
q_02E7FF,02,E7FF,7,(marks), 
q_02E80D,02,E80D,7,おかしま_まり,오카지마 마리
q_02E81B,02,E81B,7,(marks), 
q_02E829,02,E829,7,みすはら_あい,미즈하라 아이
q_02E837,02,E837,8,(marks), 
q_02E847,02,E847,8,くるみさわ_ゆか,쿠루미자와 유카
q_02E857,02,E857,8,(marks), 
q_02E867,02,E867,8,もりした_マリア,모리시타 마리아
q_02E877,02,E877,7,(marks), 
q_02E885,02,E885,7,やまくち_みき,야마구치 미키
q_02E893,02,E893,9,(marks), 
q_02E8A5,02,E8A5,9,きりかくれ_あおい,키리가쿠레 아오이
q_02E8B7,02,E8B7,10,(marks), 
q_02E8CB,02,E8CB,10,タウニィ_スフレイク,타우니 스프레이그
q_10ED2F,10,ED2F,11,ホタンをおしてくたさい,버튼을 눌러 주세요
