id,table,offset,length,japanese,korean
surname_072,surname,0304D5,4,かど,카도
surname_073,surname,0304D9,5,ねだち,네다치
surname_074,surname,0304DE,5,せきかわ,세키카와
surname_075,surname,0304E3,7,際際(4B),
surname_076,surname,0304EA,7,際際(4C),
surname_077,surname,0304F1,7,際際(4D),
surname_078,surname,0304F8,7,際際(4E),
surname_079,surname,0304FF,7,際際(4F),
surname_080,surname,030506,6,もちづき,모치즈키
surname_081,surname,03050C,5,はやさか,하야사카
surname_082,surname,030511,6,こばやし,코바야시
surname_083,surname,030517,6,りゅういち,류이치
surname_084,surname,03051D,6,りゅうじ,류지
surname_085,surname,030523,6,おにづか,오니즈카
surname_086,surname,030529,5,きのした,키노시타
surname_087,surname,03052E,4,たいら,타이라
surname_088,surname,030532,5,おとなし,오토나시
surname_089,surname,030537,5,ごとう,고토
surname_090,surname,03053C,5,くにたち,쿠니타치
surname_091,surname,030541,7,際際(5B),
surname_092,surname,030548,7,際際(5C),
surname_093,surname,03054F,7,際際(5D),
surname_094,surname,030556,7,際際(5E),
surname_095,surname,03055D,7,際際(5F),
surname_096,surname,030564,5,こうだ,코다
surname_097,surname,030569,6,さんぼう,산보
surname_098,surname,03056F,5,すみよし,스미요시
surname_099,surname,030574,6,おおぐろ,오오구로
surname_100,surname,03057A,5,かみやま,카미야마
surname_101,surname,03057F,5,つるかめ,츠루카메
surname_102,surname,030584,4,かみや,카미야
surname_103,surname,030588,5,あいだ,아이다
surname_104,surname,03058D,5,うめみや,우메미야
surname_105,surname,030592,5,たけした,타케시타
surname_106,surname,030597,5,まつおか,마츠오카
surname_107,surname,03059C,7,際際(6B),
surname_108,surname,0305A3,7,際際(6C),
surname_109,surname,0305AA,7,際際(6D),
surname_110,surname,0305B1,7,際際(6E),
surname_111,surname,0305B8,7,際際(6F),
surname_112,surname,0305BF,4,いわき,이와키
surname_113,surname,0305C3,5,とのやま,토노야마
surname_114,surname,0305C8,5,やまおか,야마오카
surname_115,surname,0305CD,5,やまだ,야마다
surname_116,surname,0305D2,5,いしげ,이시게
surname_117,surname,0305D7,4,たこた,타코타
surname_118,surname,0305DB,5,かみしま,카미시마
surname_119,surname,0305E0,4,きだ,키다
surname_120,surname,0305E4,5,さとなか,사토나카
surname_121,surname,0305E9,5,なぎさ,나기사
surname_122,surname,0305EE,5,たかしろ,타카시로
surname_123,surname,0305F3,7,際際(7B),
surname_124,surname,0305FA,7,際際(7C),
surname_125,surname,030601,7,際際(7D),
surname_126,surname,030608,7,際際(7E),
surname_127,surname,03060F,7,際際(7F),
surname_128,surname,030616,3,にし,니시
surname_129,surname,030619,4,せのお,세노오
surname_130,surname,03061D,6,やぶない,야부나이
surname_131,surname,030623,5,やざわ,야자와
surname_132,surname,030628,5,つるぎ,츠루기
surname_133,surname,03062D,4,マイク,마이쿠
surname_134,surname,030631,4,しゅう,슈
surname_135,surname,030635,4,もりた,모리타
surname_136,surname,030639,4,むらた,무라타
surname_137,surname,03063D,7,際際(89),
surname_138,surname,030644,7,際際(8A),
surname_139,surname,03064B,7,際際(8B),
surname_140,surname,030652,7,際際(8C),
surname_141,surname,030659,7,際際(8D),
surname_142,surname,030660,7,際際(8E),
surname_143,surname,030667,7,際際(8F),
surname_144,surname,03066E,5,やぶき,야부키
surname_145,surname,030673,3,キム,키무
surname_146,surname,030676,6,はせがわ,하세가와
surname_147,surname,03067C,4,よいち,요이치
surname_148,surname,030680,6,まゆづき,마유즈키
surname_149,surname,030686,5,さわむら,사와무라
surname_150,surname,03068B,4,うんの,운노
surname_151,surname,03068F,7,いずみやま,이즈미야마
surname_152,surname,030696,7,ながぶち,나가부치
surname_153,surname,03069D,4,そらち,소라치
surname_154,surname,0306A1,8,だいもんじ,다이몬지
surname_155,surname,0306A9,5,よこやま,요코야마
surname_156,surname,0306AE,4,なかつ,나카츠
surname_157,surname,0306B2,7,際際(9E),
surname_158,surname,0306B9,7,際際(9F),
surname_159,surname,0306C0,7,際際(9F),
surname_160,surname,0306C7,5,おおつか,오오츠카
surname_161,surname,0306CC,3,やら,야라
surname_162,surname,0306CF,4,よこお,요코오
surname_163,surname,0306D3,6,ごだい,고다이
surname_164,surname,0306D9,4,ほくと,호쿠토
surname_165,surname,0306DD,5,とよだ,토요다
surname_166,surname,0306E2,5,よしだ,요시다
surname_167,surname,0306E7,6,ひゅうが,휴가
surname_168,surname,0306ED,4,みさわ,미사와
surname_169,surname,0306F1,5,さかもと,사카모토
surname_170,surname,0306F6,7,際際(AB),
surname_171,surname,0306FD,7,際際(AC),
surname_172,surname,030704,7,際際(AD),
surname_173,surname,03070B,7,際際(AE),
surname_174,surname,030712,7,際際(AF),
surname_175,surname,030719,7,際際(AF),
surname_176,surname,030720,6,もちづき,모치즈키
surname_177,surname,030726,6,にのくるわ,니노쿠루와
surname_178,surname,03072C,5,やまもと,야마모토
surname_179,surname,030731,6,いがさき,이가사키
surname_180,surname,030737,4,きど,키도
surname_181,surname,03073B,5,さなだ,사나다
surname_182,surname,030740,4,たらお,타라오
surname_183,surname,030744,5,こうやま,코야마
surname_184,surname,030749,4,みくも,미쿠모
surname_185,surname,03074D,4,つげ,츠게
surname_186,surname,030751,4,さだ,사다
surname_187,surname,030755,3,せき,세키
surname_188,surname,030758,7,際際(BD),
surname_189,surname,03075F,7,際際(BE),
surname_190,surname,030766,7,際際(BF),
surname_191,surname,03076D,7,際際(BF),
surname_192,surname,030774,5,クリート,쿠리토
surname_193,surname,030779,5,オビー,오비
surname_194,surname,03077E,7,ゴードン,고돈
surname_195,surname,030785,6,ブレット,부렛토
surname_196,surname,03078B,7,ゴーファー,고파
surname_197,surname,030792,4,ランス,란스
surname_198,surname,030796,6,フラッシュ,후랏슈
surname_199,surname,03079C,5,ライアン,라이안
surname_200,surname,0307A1,5,テューク,튜쿠
surname_201,surname,0307A6,5,ヒーター,히타
surname_202,surname,0307AB,4,トリー,토리
surname_203,surname,0307AF,7,スライダー,스라이다
surname_204,surname,0307B6,6,アレックス,아렛쿠스
surname_205,surname,0307BC,5,デニー,데니
surname_206,surname,0307C1,4,リッチ,릿치
surname_207,surname,0307C5,7,際際(CF),
name_extra1_000,name_extra1,0307D0,5,はせべ,하세베
name_extra2_000,name_extra2,0307E5,5,よこかわ,요코카와
name_extra2_001,name_extra2,0307EA,5,そうだ,소다
name_extra2_002,name_extra2,0307EF,4,たかお,타카오
name_extra2_003,name_extra2,0307F3,4,ちば,치바
name_set3_000,name_set3,03082B,6,ももぞの,모모조노
name_set3_001,name_set3,030831,4,にしの,니시노
name_set3_002,name_set3,030835,5,きりしま,키리시마
name_set3_003,name_set3,03083A,5,はなしま,하나시마
name_set3_004,name_set3,03083F,5,くらさわ,쿠라사와
name_set3_005,name_set3,030844,5,あいはら,아이하라
name_set3_006,name_set3,030849,6,おかじま,오카지마
name_set3_007,name_set3,03084F,6,みずはら,미즈하라
name_set3_008,name_set3,030855,7,くるみざわ,쿠루미자와
name_set3_009,name_set3,03085C,5,もりした,모리시타
name_set3_010,name_set3,030861,6,やまぐち,야마구치
name_set3_011,name_set3,030867,7,きりがくれ,키리가쿠레
name_set3_012,name_set3,03086E,5,タウニィ,타우니
name_set4_000,name_set4,0308A7,5,かわかみ,카와카미
name_set4_001,name_set4,0308AC,5,ふくしま,후쿠시마
name_set4_002,name_set4,0308B1,4,にしの,니시노
name_set4_003,name_set4,0308B5,6,おおこうち,오오코치
name_set4_004,name_set4,0308BB,5,みどり,미도리
name_set4_005,name_set4,0308C0,6,とうどう,토도
name_set4_006,name_set4,0308C6,3,いせ,이세
name_set4_007,name_set4,0308C9,6,みずしま,미즈시마
name_set4_008,name_set4,0308CF,4,ひうら,히우라
name_set4_009,name_set4,0308D3,6,みずもり,미즈모리
name_set4_010,name_set4,0308D9,6,あしざわ,아시자와
name_set4_011,name_set4,0308DF,8,ふじばやし,후지바야시
name_set4_012,name_set4,0308E7,5,イワモト,이와모토
name_set5_000,name_set5,030920,4,あしの,아시노
name_set5_001,name_set5,030924,5,しまだ,시마다
name_set5_002,name_set5,030929,5,ふぶき,후부키
name_set5_003,name_set5,03092E,4,かなえ,카나에
name_set5_004,name_set5,030932,5,こばし,코바시
name_set5_005,name_set5,030937,4,れいか,레이카
name_set5_006,name_set5,03093B,5,おがわ,오가와
name_set5_007,name_set5,030940,4,みなみ,미나미
name_set5_008,name_set5,030944,4,さゆり,사유리
name_set5_009,name_set5,030948,4,まきの,마키노
name_set5_010,name_set5,03094C,5,こうさか,코사카
name_set5_011,name_set5,030951,4,ももち,모모치
name_set5_012,name_set5,030955,6,クリッシィ,크리시
item_000,item,030AAF,9,ユキタのバット,유키타의 배트
item_001,item,030AB8,9,エクスカリバー,엑스칼리버
item_002,item,030AC1,7,ミートくん5,미트군5
item_003,item,030AC8,8,ミートくん10,미트군10
item_004,item,030AD0,10,ナイスバントくん,나이스번트군
item_005,item,030ADA,8,かみさまのつえ,신의 지팡이
item_006,item,030AE2,9,ミラクルロッド,미라클 로드
item_007,item,030AEB,9,チャンスロッド,찬스 로드
item_008,item,030AF4,9,ストレートキラー,스트레이트 킬러
item_009,item,030AFD,10,えどっこバット,에도코 배트
item_010,item,030B07,10,よいこのグラブ,착한아이 글러브
item_011,item,030B11,10,ゴッドハンド,갓 핸드
item_012,item,030B1B,9,オーラグラブ,오라 글러브
item_013,item,030B24,11,バトルグローブ,배틀 글러브
item_014,item,030B2F,10,ジャストフィット,저스트 핏
item_015,item,030B39,9,オールラウンド,올라운드
item_016,item,030B42,12,ピッチャーグラブ,투수 글러브
item_017,item,030B4E,5,PQU1,PQU1
item_018,item,030B53,5,PQU2,PQU2
item_019,item,030B58,4,サスケ,사스케
item_020,item,030B5C,4,ハヤテ,하야테
item_021,item,030B60,9,オーラシューズ,오라 슈즈
item_022,item,030B69,10,バトルシューズ,배틀 슈즈
item_023,item,030B73,10,りきのゆうじょう,리키의 우정
item_024,item,030B7D,11,ぎんぎんゼット,긴긴 제트
item_025,item,030B88,9,ファイトはつらつ,파이트 발랄
item_026,item,030B91,8,ミナゲンキー,모두건강
item_027,item,030B99,8,いやらしぼん,야한 책
item_028,item,030BA1,9,のーかっとぼん,노컷 책
item_029,item,030BAA,10,キューキューばこ,구급상자
item_030,item,030BB4,9,あんしんおまもり,안심 부적
item_031,item,030BBD,10,ゴッドパワー,갓 파워
item_032,item,030BC7,7,もっていない,없음
item_033,item,030BCE,5,はずす,벗기
story_000,story,0324FA,40,"こうのすけ「いきなりだが どちらにするかを
      えらびたまえ!",코노스케「갑작스럽지만 어느 쪽으로 할지 골라 보게!
story_001,story,032522,39,"こうのすけ「やあ おひさしぶり。
      ごきげん いかがかな?","코노스케「여어, 오랜만이군. 잘 지냈나?"
story_002,story,032549,53,"こうのすけ「きみの ”ねっけつ やきゅうたいかい”への
      さんかを たいへん かんげいする!","코노스케「자네가 ""열혈 야구 대회""에 참가해 준 것을 크게 환영하네!"
story_003,story,03257E,40,"こうのすけ「きみのように ねっけつで かっこよくて
      あたまもよく",코노스케「자네처럼 열혈이고 멋지고 머리도 좋고
story_004,story,0325A6,59,"こうのすけ「とってもスケベで スッペケペな・・・
      まあ ひとことで いうと そんなひとのための","코노스케「엄청 밝히고 얼빠진… 뭐, 한마디로 그런 사람을 위한"
story_005,story,0325E1,47,"こうのすけ「でーーーーーーっかい せかいきぼの
      やきゅうたいかい なのだ。",코노스케「어어어어엄청 큰 세계 규모의 야구 대회란 말일세.
story_006,story,032610,29,こうのすけ「まあ せいぜいがんばって くれたまえ。,"코노스케「뭐, 열심히 해 보게나."
story_007,story,03262D,31,こうのすけ「おじょうさまな やきゅうは つうようせんぞ。,코노스케「아가씨 같은 야구는 통하지 않을 걸세.
story_008,story,03264C,16,こうのすけ「まけて なくなよ!,코노스케「져도 울지 말게!
story_009,story,03265C,30,こうのすけ「ガーッハッハッハッハッハッハッハッハッハッ。,코노스케「가아아핫핫핫핫핫핫핫핫핫핫.
story_010,story,03267A,10,こうのすけ「あっ!,코노스케「앗!
story_011,story,032684,22,たちばな「・・・やっぱり だめだ。,타치바나「…역시 안 돼.
story_012,story,03269A,18,りか「どうして? キャプテン。,리카「왜요? 주장님.
story_013,story,0326AC,47,"りか「もういちど がんばって こんどのたいかいには
   ゆうしょう しましょうよ!",리카「한 번 더 힘내서 이번 대회에서는 꼭 우승해요!
story_014,story,0326DB,21,たちばな「・・・・・・マネージャー。,타치바나「……매니저.
story_015,story,0326F0,21,たちばな「だめなんだ もう・・・。,타치바나「이제 안 돼….
story_016,story,032705,56,"りか「よわきに なるなんて たちばなさん らしくない!
   あたしが みんなを せっとくするから・・・。",리카「약해지다니 타치바나 씨답지 않아요! 내가 모두를 설득할 테니까….
story_017,story,03273D,32,たちばな「だめなんだよ りか・・・やきゅうぶは・・・。,"타치바나「안 돼, 리카… 야구부는…."
story_018,story,03275D,27,たちばな「やきゅうぶは もう なくなったんだ。,타치바나「야구부는 이제 없어졌어.
story_019,story,032778,13,りか「そ・そんな・・・。,"리카「그, 그런…."
story_020,story,032785,44,"たちばな「・・・やきゅうは ひとりじゃ・・・
     できないんだよ・・・。",타치바나「…야구는 혼자서는… 할 수 없다고….
story_021,story,0327B1,61,"たちばな「・・・もう びょういんに もどったほうが いい
     ・・・みんなが しんぱいするぞ・・・。",타치바나「…이제 병원으로 돌아가는 게 좋아 …다들 걱정한다고….
story_022,story,0327EE,23,たちばな「・・・・・・すまない・・・りか。,타치바나「……미안하다… 리카.
story_023,story,032805,13,すがた「つまり・・・。,스가타「그러니까….
story_024,story,032812,55,"すがた「ゆうしょうこうほの やきゅうぶが
    まさかの まけで ガックリきて かいさんした・・",스가타「우승 후보였던 야구부가 설마 하던 패배에 낙담해서 해산했다…
story_025,story,032849,13,すがた「というわけか。,스가타「그런 얘기군.
story_026,story,032856,49,"すがた「まあ あんなやつが キャプテンだから まけるのも
    うなずけるけどね。","스가타「뭐, 저런 녀석이 주장이니 지는 것도 이해가 가지만."
story_027,story,032887,54,"すがた「しかし こんどの ねっけつたいかい では
    このオレが キャプテンに なるのだ。",스가타「하지만 이번 열혈 대회에서는 이 몸이 주장이 되는 거다.
story_028,story,0328BD,44,"すがた「あいする りかちゃん♡の ハートは
    バッチリ いただくぜっ!!",스가타「사랑하는 리카♡의 마음은 확실히 받아 가겠어!!
story_029,story,0328E9,9,すがた「あっ!,스가타「앗!
story_030,story,0328F2,54,"すがた「まいったなあ。 かんとく ”かわかみ”だぜ!
    あの すうがくの スポ-ツおんち!","스가타「이거 참. 감독이 ""카와카미""라니! 그 수학 선생, 운동 젬병이잖아!"
story_031,story,032928,43,"ななせ「ほ・ほんとか?
    なんで ”ちば”せんせいじゃ ないんだよ! ","나나세「지, 진짜? 왜 ""치바"" 선생님이 아닌 거야!"
story_032,story,032953,30,すがた「・・・さあな・・・それよりも りかちゃんだよ。,스가타「…글쎄… 그것보다 리카 말이야.
story_033,story,032971,30,ななせ「そんなに わるいのか? かのじょの びょうき。,나나세「그렇게 안 좋아? 그 애 병.
story_034,story,03298F,28,すがた「ああ。 いしゃも あきらめたって・・・・・。,스가타「응. 의사도 포기했대…….
story_035,story,0329AB,27,ななせ「えっ! そうか・・・。 かわいそうに・・・。,나나세「엇! 그래…. 불쌍해라….
story_036,story,0329C6,54,"すがた「・・・なんか わるいこと だらけだな・・・。
    ほんとに かてるのか おれたち・・・。",스가타「…뭔가 나쁜 일투성이네…. 우리 정말 이길 수 있을까….
story_037,story,0329FC,45,"ななせ「だいじょうぶだよ。なんたって くにおさんが
    いるじゃないか!",나나세「괜찮아. 뭐니 뭐니 해도 쿠니오 씨가 있잖아!
story_038,story,032A29,25,すがた「そうだよな! まけるわけ ないよな!,스가타「그렇지! 질 리가 없지!
story_039,story,032A42,46,"くにお「おーい おまえたち!
    しばらく るすに するんで あと よろしくなー。","쿠니오「어이, 너희들! 잠시 자리를 비울 테니 뒷일은 잘 부탁한다."
story_040,story,032A70,20,すがた・ななせ「そ・そんなー・・・。,"스가타·나나세「그, 그런…."
story_041,story,032A84,45,"そのかわ「くにお アニキー♡ まってくれよー!
     オレも つれてって くれよー!",소노카와「쿠니오 형님♡ 기다려요! 나도 데려가 줘요!
story_042,story,032AB1,43,"そのかわ「なんで にげるんだよおー。
     コンビふっかつ しようよー!",소노카와「왜 도망가는 거야. 콤비 부활하자고!
story_043,story,032ADC,65,":「さらに すうじつご・・・こいがたきの ”たちばな”も
  くわわって さらに ダメージを うけた すがたくん。","「그리고 며칠 뒤… 연적인 ""타치바나""까지 합류해 더욱 충격을 받은 스가타."
story_044,story,032B1D,56,":「その すがたキャプテン ひきいる ”ねっけつ”は
  はたして かつことが できるのでしょうか?","「그 스가타 주장이 이끄는 ""열혈""은 과연 이길 수 있을까요?"
story_045,story,032B55,46,":「そして りかちゃんを げんきづけて あげることが
  できるのでしょうか?",「그리고 리카에게 기운을 북돋아 줄 수 있을까요?
story_046,story,032B83,51,":「いよいよ しあいかいしです。
  がんばれ ねっけつ! こんじょうだ! すがたくん!",「드디어 시합 시작입니다. 힘내라 열혈! 근성이다! 스가타!
story_047,story,032BB6,40,"こうのすけ「これより ”ねっけつ やきゅうたいかい”を
      おこなう。","코노스케「지금부터 ""열혈 야구 대회""를 시작한다."
story_048,story,032BDE,43,"こうのすけ「きみたちは わたしに えらばれた ねっけつの
      せんしだ!",코노스케「자네들은 내가 뽑은 열혈의 전사들이다!
story_049,story,032C09,22,こうのすけ「ガッツで たたかいたまえ!,코노스케「근성으로 싸우게!
story_050,story,032C1F,52,"こうのすけ「なお かったチームには とっても すばらしい
      プレゼントを よういする。",코노스케「또한 이긴 팀에게는 아주 멋진 선물을 준비하겠네.
story_051,story,032C53,20,こうのすけ「がんばれよ! みんな!,코노스케「힘내게! 모두!
story_052,story,032C67,26,こうのすけ「これで たいかいあいさつを おわる。,코노스케「이것으로 대회 인사를 마친다.
story_053,story,032C81,20,こうのすけ「ハッハッハッハッハッハッ。,코노스케「핫핫핫핫핫핫.
story_054,story,032C95,11,こうのすけ「ブイ!,코노스케「브이!
story_055,story,032CA0,39,"こうのすけ「これで ”ねっけつ やきゅうたいかい”を
      おわる。","코노스케「이것으로 ""열혈 야구 대회""를 마친다."
story_056,story,032CC7,29,こうのすけ「くるしい たたかいを よくがんばったな。,코노스케「힘든 싸움을 잘 이겨 냈군.
story_057,story,032CE4,54,"こうのすけ「くるしいときこそ なかまのために たたかう。
      それが ほんとうの ねっけつだ!",코노스케「힘들 때일수록 동료를 위해 싸운다. 그것이 진짜 열혈이다!
story_058,story,032D1A,13,こうのすけ「わかったか!,코노스케「알겠나!
story_059,story,032D27,35,"こうのすけ「・・・わからんか?
      まあ どうでもよい!","코노스케「…모르겠나? 뭐, 아무래도 좋다!"
story_060,story,032D4A,43,"こうのすけ「ちいさいことを きにせず せいしゅんを
      いきる ことだ!",코노스케「작은 일에 얽매이지 말고 청춘을 사는 거다!
story_061,story,032D75,45,"こうのすけ「そうすれば わたしのような ビッグな やつに
      なれるぞ。",코노스케「그러면 나처럼 거물이 될 수 있지.
story_062,story,032DA2,24,こうのすけ「ワッハッハッハッハッハッハッハッ。,코노스케「왓핫핫핫핫핫핫핫.
story_063,story,032DBA,11,こうのすけ「ブイ!,코노스케「브이!
story_064,story,032DC5,29,りか「・・・わたしの た・ために・・ ありがとう   ,"리카「…나, 날 위해서… 고마워"
story_065,story,032DE2,29,りか「あたし・・  ぜったいに   わすれない   よ,리카「나…  절대로  잊지  않을  게
story_066,story,032DFF,13,りか「     ふたりを,리카「     두 사람을
story_067,story,032E0C,16,りか「て    てんごくで,리카「하    하늘에서
story_068,story,032E1C,28,りか「   み               みまもって,리카「   지               지켜볼게
story_069,story,032E38,47,"すがた「ゴ・ゴメンよー! りかちゃん! なんのちからにも
    なれなかった・・・。","스가타「미, 미안해! 리카! 아무 힘도 되어 주지 못했어…."
story_070,story,032E67,44,"たちばな「すまない りか。
     や・やくそく はたせなくて・・・す・すまん・・","타치바나「미안하다 리카. 야, 약속을 지키지 못해서… 미, 미안…."
story_071,story,032E93,49,"すがた「・・・・・・・・・・・・・り・・りかちゃーん・・
    オレ・・・・・オレ・・・・。","스가타「…………리, 리카아… 나… 나는…."
story_072,story,032EC4,29,たちばな「・・・・・・・・・ち・ちくしょう・・・・・。,"타치바나「………제, 제기랄……."
story_073,story,032EE1,19,すがた・たちばな「ゲゲッ!!,스가타·타치바나「으억!!
story_074,story,032EF4,20,たちばな「ドっピょーーーン!!!,타치바나「우와아아앙!!!
story_075,story,032F08,23,りか「もう いっかい ちょうせんしてね♡♡♡,리카「한 번 더 도전해 줘♡♡♡
story_076,story,032F1F,42,"たちばな「うーん むずかしいな。
     これが せいいっぱいか・・・。","타치바나「으음, 어렵군. 이게 최선인가…."
story_077,story,032F49,57,"すがた「マネージャーの はなしだと これからの あいては
    はんぱじゃなく つよいらしいってよ。",스가타「매니저 말로는 앞으로 상대는 장난 아니게 강하대.
story_078,story,032F82,44,"ななせ「ここまでは かてたけど・・・この せんりょくでは
    まずいよね。",나나세「여기까진 이겼지만… 이 전력으로는 힘들겠지.
story_079,story,032FAE,19,いちじょう「か・かえって きたあ!,"이치조「도, 돌아왔다아!"
story_080,story,032FC1,38,"くにお「またせたな みんな。
    ここからは オレに まかせときなっ。","쿠니오「기다렸지, 다들. 여기서부턴 나한테 맡겨."
story_081,story,032FE7,52,"そのかわ「ここからは オイラに まかせときなっ。
     くにおさんに かわって だいかつやくさ。",소노카와「여기서부턴 나한테 맡겨. 쿠니오 씨 대신 대활약이다.
story_082,story,03301B,14,くにお「なめんじゃねー!,쿠니오「까불지 마!
story_083,story,033029,54,"たちばな「これで オレも きっぱりと やきゅうを
     やめられるよ ・・・・・・ありがとう。",타치바나「이걸로 나도 깨끗이 야구를 그만둘 수 있겠어 ……고맙다.
story_084,story,03305F,20,くにお「たちばな・・・おまえ・・・。,쿠니오「타치바나… 너….
story_085,story,033073,58,"たちばな「もう だめなんだ・・・うでが・・・
     わかっていたんだ・・・でも・・・いいんだ。",타치바나「이제 안 돼… 팔이… 알고 있었어… 그래도… 괜찮아.
story_086,story,0330AD,20,くにお「なぜ そこまでして・・・。,쿠니오「왜 그렇게까지….
story_087,story,0330C1,44,"ななせ「あさのさん! げ・げんきそう・・だね。
    だいじょうぶなの?","나나세「아사노 씨! 거, 건강해… 보이네. 괜찮은 거야?"
story_088,story,0330ED,57,"りか「うん! しんぱいかけちゃって ごめんなさい。
   あたし みんなに おれいが いいたくて きたの。",리카「응! 걱정 끼쳐서 미안해. 다들한테 인사를 하고 싶어서 왔어.
story_089,story,033126,47,"りか「みんなが がんばってるのを みて ほんとうに
   げんきづけられた・・・。",리카「다들 열심히 하는 걸 보고 정말 기운이 났어….
story_090,story,033155,49,"りか「あたしの・・ちいさいときからの ゆめが
   かなったの・・みんなの おかげで・・。",리카「내… 어릴 적부터의 꿈이 이뤄졌어… 다들 덕분에….
story_091,story,033186,39,"りか「すがたくん ほんとうに ありがとう。
   あたし わすれないよ。","리카「스가타, 정말 고마워. 나 잊지 않을게."
story_092,story,0331AD,31,すがた「い・いや そ・そんな・・・いいのよ べつに・・。,"스가타「아, 아니 그, 그런… 괜찮아 뭐…."
story_093,story,0331CC,17,りか「ななせくん ありがとう!,"리카「나나세, 고마워!"
story_094,story,0331DD,22,ななせ「うん よかったね ”あさの”さん。,"나나세「응, 다행이야 ""아사노"" 씨."
story_095,story,0331F3,28,りか「くにおせんぱい ありがとう ございます。,"리카「쿠니오 선배, 고맙습니다."
story_096,story,03320F,8,くにお「ああ。,쿠니오「그래.
story_097,story,033217,13,たちばな「りか・・・。,타치바나「리카….
story_098,story,033224,17,りか「・・たちばなさん・・・。,리카「…타치바나 씨….
story_099,story,033235,18,くにお「さ そろそろ いこうぜ。,"쿠니오「자, 슬슬 가자고."
story_100,story,033247,38,"すがた「さあ オレも いくかなっと。
    じゃあね おふたりさん!","스가타「자, 나도 갈까나. 그럼 잘 있어요 두 분!"
story_101,story,03326D,12,りか「すがたくん!!,리카「스가타!!
story_102,story,033279,46,"りか「・・・すがた・・くん。
   ・・・ありがと・・・・・・・・・・・・ごめんね。",리카「…스가타. …고마워……………미안해.
story_103,story,0332A7,52,"すがた「・・・ばか! なにいってんだよ。
    なんのことだか ぜんぜん わかんねえな。",스가타「…바보! 무슨 소리야. 무슨 말인지 전혀 모르겠네.
